Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/api/v1/copilot/chat/stream,2492,0,16,397.8339842297867,3.2275000121444464,18184.971700015012,0.0,88.40965956851944,0.0,16,21,26,31,46,2000,8400,12000,18000,18000,18000
,Aggregated,2492,0,16,397.8339842297867,3.2275000121444464,18184.971700015012,0.0,88.40965956851944,0.0,16,21,26,31,46,2000,8400,12000,18000,18000,18000
