Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/api/v1/copilot/chat/stream,6951,0,58,210.9913587254499,3.309599997010082,1944.7093000053428,0.0,483.6947480842991,0.0,58,65,72,79,1100,1500,1600,1700,1900,1900,1900
,Aggregated,6951,0,58,210.9913587254499,3.309599997010082,1944.7093000053428,0.0,483.6947480842991,0.0,58,65,72,79,1100,1500,1600,1700,1900,1900,1900
